system,dataset,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
Physicians,MedQuAD,0.0,0.0,0.0,0.0,0.0,2.6,1.73,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.87,0.0,93.51
Mixtral Base,MedQuAD,0.0,0.0,0.0,0.0,0.87,0.43,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4
Mixtral Empathy,MedQuAD,0.0,0.0,0.0,0.0,11.69,52.81,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,5.19,0.87,0.0,24.24
Mixtral Rephrase,MedQuAD,0.0,0.0,0.0,0.0,4.76,22.94,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,10.39,0.0,0.0,0.0,0.0,0.43,0.0,59.31
MedGemma Base,MedQuAD,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13
MedGemma Empathy,MedQuAD,0.0,0.0,0.0,0.0,11.26,20.35,0.87,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,63.64
MedGemma Rephrase,MedQuAD,0.0,0.0,0.0,0.0,3.46,15.15,3.03,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.87,0.0,75.76
GPT Base,MedQuAD,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.27
GPT Empathy,MedQuAD,0.0,0.0,0.0,0.0,3.9,43.29,0.87,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,50.22
GPT Rephrase,MedQuAD,0.0,0.0,0.0,0.0,1.73,15.15,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,1.3,0.0,79.22
Gemini Rephrase,MedQuAD,0.0,0.0,0.0,0.0,0.43,16.88,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,81.39
Claude Base,MedQuAD,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.57
Claude Empathy,MedQuAD,0.0,0.0,0.0,0.0,8.66,25.97,0.87,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,62.34
Claude Rephrase,MedQuAD,0.0,0.0,0.0,0.0,3.46,22.94,1.73,0.87,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.43,0.0,68.4
Physicians,MedRedQA,0.5,1.0,0.0,0.0,10.5,25.0,3.5,1.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.5,0.0,0.5,0.0,2.5,2.0,0.0,48.0
Mixtral Base,MedRedQA,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,96.5
Mixtral Empathy,MedRedQA,0.0,0.0,0.0,0.0,3.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,5.5
Mixtral Rephrase,MedRedQA,1.5,0.0,0.0,0.0,8.5,65.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.5,1.5,0.0,15.0
MedGemma Base,MedRedQA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,98.5
MedGemma Empathy,MedRedQA,0.0,0.0,0.0,0.5,12.0,43.5,2.5,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,29.5
MedGemma Rephrase,MedRedQA,2.0,0.0,0.0,0.0,11.5,41.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.5,0.0,34.0
GPT Base,MedRedQA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,99.0
GPT Empathy,MedRedQA,0.0,0.0,0.0,0.0,5.5,67.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.5,0.0,22.0
GPT Rephrase,MedRedQA,1.0,0.0,0.0,0.0,8.0,43.5,4.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.0,36.5
Gemini Rephrase,MedRedQA,0.0,0.0,0.0,0.0,8.5,45.5,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,3.5,2.5,0.0,31.5
Claude Base,MedRedQA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Claude Empathy,MedRedQA,0.0,0.0,0.0,0.0,9.0,35.5,3.0,18.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.5
Claude Rephrase,MedRedQA,1.0,0.0,0.0,0.0,13.0,41.5,2.0,2.5,0.5,0.0,1.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,2.0,2.5,0.0,24.5
