dataset,model,condition,n,factual,completeness,coherence,overall_mean_1to5
MedQuAD_ext,Mixtral,Base,231,4.026,3.853,4.165,4.015
MedQuAD_ext,Mixtral,Empathy,231,3.727,3.511,3.883,3.707
MedQuAD_ext,Mixtral,Rephrase,231,4.732,4.662,4.706,4.7
MedQuAD_ext,MedGemma,Base,231,3.879,3.779,4.017,3.892
MedQuAD_ext,MedGemma,Empathy,231,3.926,3.827,4.126,3.96
MedQuAD_ext,MedGemma,Rephrase,231,4.814,4.797,4.801,4.804
MedQuAD_ext,GPT,Base,231,3.844,3.762,3.974,3.86
MedQuAD_ext,GPT,Empathy,231,3.848,3.775,4.009,3.877
MedQuAD_ext,GPT,Rephrase,231,4.848,4.844,4.853,4.848
MedQuAD_ext,Gemini,Rephrase,231,4.918,4.857,4.909,4.895
MedQuAD_ext,Claude,Base,231,4.043,3.987,4.095,4.042
MedQuAD_ext,Claude,Empathy,231,3.87,3.848,3.991,3.903
MedQuAD_ext,Claude,Rephrase,231,4.719,4.654,4.697,4.69
MedRedQA_ext,Mixtral,Base,200,2.875,2.77,3.115,2.92
MedRedQA_ext,Mixtral,Empathy,200,2.81,2.77,3.095,2.892
MedRedQA_ext,Mixtral,Rephrase,200,4.445,4.415,4.22,4.36
MedRedQA_ext,MedGemma,Base,200,2.865,2.73,3.115,2.903
MedRedQA_ext,MedGemma,Empathy,200,3.175,3.01,3.365,3.183
MedRedQA_ext,MedGemma,Rephrase,200,4.56,4.56,4.49,4.537
MedRedQA_ext,GPT,Base,200,2.815,2.69,3.105,2.87
MedRedQA_ext,GPT,Empathy,200,3.1,3.035,3.32,3.152
MedRedQA_ext,GPT,Rephrase,200,4.71,4.725,4.625,4.687
MedRedQA_ext,Gemini,Rephrase,200,4.785,4.795,4.635,4.738
MedRedQA_ext,Claude,Base,200,2.82,2.855,3.08,2.918
MedRedQA_ext,Claude,Empathy,200,3.2,3.155,3.36,3.238
MedRedQA_ext,Claude,Rephrase,200,4.715,4.725,4.625,4.688
